OW_k8_randomInit_20h20m4s.txt;OW_k8_randomInit_20h19m38s.txt;OW_k8_randomInit_20h19m54s.txt;OW_k8_randomInit_20h20m43s.txt;OW_k8_randomInit_20h20m40s.txt;OW_k8_randomInit_20h20m2s.txt;OW_k8_randomInit_20h19m51s.txt;OW_k8_randomInit_20h20m35s.txt;OW_k8_randomInit_20h19m36s.txt;OW_k8_randomInit_20h19m59s.txt;OW_k8_randomInit_20h20m38s.txt;OW_k8_randomInit_20h20m17s.txt;OW_k8_randomInit_20h20m25s.txt;OW_k8_randomInit_20h19m46s.txt;OW_k8_randomInit_20h20m12s.txt;OW_k8_randomInit_20h19m49s.txt;OW_k8_randomInit_20h20m9s.txt;OW_k8_randomInit_20h20m27s.txt;OW_k8_randomInit_20h19m44s.txt;OW_k8_randomInit_20h20m45s.txt;OW_k8_randomInit_20h20m20s.txt;OW_k8_randomInit_20h19m41s.txt;OW_k8_randomInit_20h20m22s.txt;OW_k8_randomInit_20h20m32s.txt;OW_k8_randomInit_20h20m7s.txt;OW_k8_randomInit_20h19m57s.txt;OW_k8_randomInit_20h20m50s.txt;OW_k8_randomInit_20h20m30s.txt;OW_k8_randomInit_20h20m14s.txt;OW_k8_randomInit_20h20m48s.txt
69.1894470588;68.7251764706;69.0806352941;69.0655294118;68.4635058824;69.1075176471;68.6779882353;68.4885176471;68.3308941176;69.0525882353;69.3860235294;68.4821294118;68.3126117647;68.7222352941;68.3551764706;69.2053294118;69.2111529412;68.742;68.4514941176;68.7428235294;68.8242117647;68.7096470588;69.3441176471;68.5634352941;68.6477882353;69.0457058824;69.2321882353;68.4935294118;68.4504235294;68.3175176471
69.1249294118;68.7251764706;69.0928352941;69.0782352941;68.4076;69.0482588235;68.6779882353;68.4846588235;68.3308941176;69.0525882353;69.3816;68.4786941176;68.3126117647;68.7222352941;68.3551764706;69.1903647059;69.2111529412;68.742;68.4543764706;68.7428235294;68.8440588235;68.7096470588;69.3184588235;68.6391058824;68.6477882353;68.8740352941;69.1910705882;68.4935294118;68.6266117647;68.3078117647
69.1120117647;68.7251764706;69.0508352941;69.0625647059;68.4448705882;69.0482588235;68.6747882353;68.4733764706;68.3308941176;69.0525882353;69.3816;68.4770823529;68.3126117647;68.7222352941;68.3551764706;69.1903647059;69.2111529412;68.742;68.4536588235;68.7428235294;68.8121529412;68.7096470588;69.2907176471;68.5642470588;68.6477882353;68.8779529412;69.2226941176;68.4935294118;68.4977176471;68.3078117647
69.1059058824;68.7251764706;69.0489529412;69.0535294118;68.4076;69.0482588235;68.6779882353;68.4696;68.3496352941;69.0525882353;69.3816;68.4941294118;68.3139294118;68.7222352941;68.3732941176;69.1881176471;69.2111529412;68.742;68.4506117647;68.7509176471;68.8018588235;68.7096470588;69.2807294118;68.5783294118;68.6477882353;68.8752705882;69.2030117647;68.4935294118;68.5646705882;68.3078117647
69.1642470588;68.7251764706;69.0392470588;69.0535294118;68.4239764706;69.0482588235;68.6692352941;68.4777882353;68.4195176471;69.0669411765;69.4906941176;68.4803764706;68.3174117647;68.7222352941;68.3600588235;69.1881176471;69.2111529412;68.742;68.5065176471;68.7599529412;68.8322941176;68.7096470588;69.2807294118;68.5620235294;68.6477882353;68.8876941176;69.2289529412;68.4935294118;68.4536705882;68.3078117647
69.1114941176;68.7251764706;69.0392470588;69.0535294118;68.4077882353;69.0482588235;68.6796941176;68.4777882353;68.3308941176;69.0706588235;69.4065411765;68.5086705882;68.3233529412;68.7222352941;68.3589411765;69.1975294118;69.1143058824;68.742;68.4506117647;68.7522470588;68.8440588235;68.7096470588;69.2807294118;68.5620235294;68.6477882353;68.8707529412;69.2004823529;68.4935294118;68.4986;68.3078117647
69.0627882353;68.7251764706;69.0392470588;69.0535294118;68.4216352941;69.0482588235;68.6705176471;68.4747764706;68.3427529412;69.0746588235;69.4776;68.4786941176;68.3207647059;68.7595058824;68.3551764706;69.2000588235;69.1143058824;68.742;68.5917529412;68.7778352941;68.8078235294;68.7096470588;69.2999294118;68.5620235294;68.6477882353;68.8707529412;69.1888941176;68.4935294118;68.4610117647;68.3078117647
69.0816117647;68.7251764706;69.0392470588;69.0535294118;68.4448705882;69.0493411765;68.6732941176;68.5017882353;68.3308941176;69.0603529412;69.4216588235;68.5060705882;68.3164352941;68.7222352941;68.3551764706;69.2292352941;69.1340705882;68.742;68.4506117647;68.7759529412;68.8295294118;68.8367058824;69.2897647059;68.5693647059;68.6477882353;68.8707529412;69.1888941176;68.4935294118;68.4773882353;68.3078117647
69.0693176471;68.7251764706;69.0392470588;69.0535294118;68.4080117647;69.0699411765;68.6718705882;68.4696;68.3308941176;69.0548941176;69.4248941176;68.4786941176;68.3155294118;68.7222352941;68.3551764706;69.2464705882;69.1176941176;68.742;68.4624705882;68.7778352941;68.8018588235;68.7096470588;69.3269294118;68.5642470588;68.6477882353;68.8707529412;69.1888941176;68.4935294118;68.5470941176;68.3078117647
69.0816117647;68.7251764706;69.0392470588;69.0791176471;68.4503882353;69.0523529412;68.6747882353;68.4846588235;68.3308941176;69.0525882353;69.3957176471;68.4986941176;68.3164352941;68.7222352941;68.3569176471;69.2371764706;69.1159647059;68.742;68.4768705882;68.8406117647;68.8078235294;68.7096470588;69.3054352941;68.5620235294;68.6477882353;68.8825058824;69.1888941176;68.4935294118;68.4759411765;68.3078117647
