Braess_1_4200_10_c1_k3_discount0.8_window20_randomInit_12h7m55s.txt;Braess_1_4200_10_c1_k3_discount0.8_window10_randomInit_12h7m40s.txt;Braess_1_4200_10_c1_k3_discount0.8_window50_sequentialInit_12h8m37s.txt;Braess_1_4200_10_c1_k3_discount0.9_window20_randomInit_12h9m11s.txt;Braess_1_4200_10_c1_k3_discount0.99_window50_randomInit_12h10m54s.txt;Braess_1_4200_10_c1_k3_discount0.9_window10_sequentialInit_12h9m4s.txt;Braess_1_4200_10_c1_k3_discount0.99_window20_randomInit_12h10m32s.txt;Braess_1_4200_10_c1_k3_discount0.99_window50_sequentialInit_12h11m14s.txt;Braess_1_4200_10_c1_k3_discount0.9_window10_randomInit_12h8m57s.txt;Braess_1_4200_10_c1_k3_discount0.8_window20_sequentialInit_12h8m6s.txt;Braess_1_4200_10_c1_k3_discount0.99_window20_sequentialInit_12h10m43s.txt;Braess_1_4200_10_c1_k3_discount0.99_window10_sequentialInit_12h10m24s.txt;Braess_1_4200_10_c1_k3_discount0.8_window10_sequentialInit_12h7m47s.txt;Braess_1_4200_10_c1_k3_discount0.9_window20_sequentialInit_12h9m23s.txt;Braess_1_4200_10_c1_k3_discount0.9_window50_randomInit_12h9m36s.txt;Braess_1_4200_10_c1_k3_discount0.9_window50_sequentialInit_12h9m55s.txt;Braess_1_4200_10_c1_k3_discount0.8_window50_randomInit_12h8m17s.txt;Braess_1_4200_10_c1_k3_discount0.99_window10_randomInit_12h10m16s.txt
15.2780277778;15.0000283447;20.0;18.6126989796;15.5844450113;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;15.0007086168;20.0;20.0;20.0
15.2780277778;15.0000283447;20.0;18.5968713152;15.5844450113;20.0;15.5571439909;20.0;18.5937193877;20.0;20.0;20.0;20.0;20.0;15.0007086168;20.0;15.0005;15.5382324263
15.2780277778;15.0000283447;20.0;17.7424693877;15.5844450113;20.0;15.5571439909;20.0;15.282574263;20.0;20.0;20.0;20.0;20.0;15.0007086168;20.0;15.0005;15.5382324263
15.0005;15.0000283447;20.0;17.7499410431;15.5844450113;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;15.2655787982;20.0;15.0005;15.5382324263
15.2780277778;15.0000283447;20.0;20.0;15.5844450113;20.0;15.5571439909;20.0;15.3045997732;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;15.0005;15.5382324263
18.6446944444;20.0;20.0;17.5011479592;15.5844450113;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;15.0005;15.5382324263
17.7777777778;20.0;20.0;17.785770975;17.8404903628;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;20.0;15.5382324263
16.1449444444;20.0;20.0;20.0;17.8404903628;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;20.0;15.5382324263
18.6446944444;15.0000283447;20.0;17.8070839002;17.8404903628;20.0;15.5571439909;20.0;20.0;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;20.0;15.5382324263
17.50025;15.0000283447;20.0;20.0;18.623845805;20.0;15.5571439909;20.0;15.2828344671;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;15.0005;20.0
16.1449444444;15.0000283447;20.0;16.3246218821;18.604770975;20.0;15.5571439909;20.0;17.7476876417;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;15.0005;20.0
20.0;15.0000283447;20.0;16.3551683673;17.7629030612;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;15.0005;20.0
15.0005;15.0000283447;20.0;16.3246218821;20.0;20.0;15.5571439909;20.0;18.5937193877;20.0;20.0;20.0;20.0;20.0;18.6334444444;20.0;15.0005;15.5382324263
15.0005;15.0000283447;20.0;16.3468123583;16.4639597506;20.0;15.5571439909;20.0;15.282574263;20.0;20.0;20.0;20.0;20.0;15.2652267574;20.0;15.0005;15.5382324263
17.2893888889;15.0000283447;20.0;17.7424693877;15.5543854875;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;18.6334444444;20.0;20.0;15.5382324263
15.0005;20.0;20.0;17.7424693877;15.5543854875;20.0;15.5571439909;20.0;15.3045997732;20.0;20.0;20.0;20.0;20.0;17.7817602041;20.0;20.0;15.5382324263
15.0005;20.0;20.0;18.6673611111;15.5543854875;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;17.7817602041;20.0;20.0;15.5382324263
17.2893888889;20.0;20.0;18.5531570295;16.4639597506;20.0;20.0;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;20.0;20.0;15.0005;15.5382324263
17.7777777778;15.0000283447;20.0;16.0969399093;16.4639597506;20.0;20.0;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;17.2668888889;20.0;15.0005;15.5382324263
20.0;15.0000283447;20.0;17.7761927438;16.4639597506;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;15.2865787982;20.0;15.0005;15.5382324263
17.2893888889;15.0000283447;20.0;18.5968713152;16.4639597506;20.0;15.5571439909;20.0;15.2828344671;20.0;20.0;20.0;20.0;20.0;16.4152046485;20.0;15.0005;20.0
20.0;15.0000283447;20.0;16.1674297052;16.4639597506;20.0;15.5571439909;20.0;17.7476876417;20.0;20.0;20.0;20.0;20.0;15.2865787982;20.0;15.0005;20.0
17.7777777778;15.0000283447;20.0;18.6673611111;16.4639597506;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;20.0;20.0
18.6446944444;15.0000283447;20.0;18.6126989796;16.2213112245;20.0;15.5571439909;20.0;18.5937193877;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;20.0;15.5382324263
17.50025;15.0000283447;20.0;17.785770975;16.4639597506;20.0;15.5571439909;20.0;15.282574263;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;20.0;15.5382324263
20.0;20.0;20.0;20.0;17.5002998866;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;15.0005;15.5382324263
15.5555555555;20.0;20.0;15.4849387755;18.720005102;20.0;15.5571439909;20.0;15.3045997732;20.0;20.0;20.0;20.0;20.0;17.7817602041;20.0;15.0005;15.5382324263
15.5555555555;20.0;20.0;15.0001371882;16.4639597506;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;17.7817602041;20.0;15.0005;15.5382324263
15.0005;15.0000283447;20.0;15.0001371882;16.4639597506;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;20.0;20.0;15.0005;15.5382324263
15.0005;15.0000283447;20.0;15.0001371882;18.720005102;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;15.0007086168;20.0;15.0005;15.5382324263
15.0005;15.0000283447;20.0;15.0001371882;16.4639597506;20.0;15.5571439909;20.0;20.0;20.0;20.0;20.0;20.0;20.0;15.2865787982;20.0;20.0;15.5382324263
17.2893888889;15.0000283447;20.0;15.0001371882;18.720005102;20.0;15.5571439909;20.0;15.2828344671;20.0;20.0;20.0;20.0;20.0;15.2655787982;20.0;20.0;20.0
15.0005;15.0000283447;20.0;15.0001371882;15.5543854875;20.0;15.5571439909;20.0;17.7476876417;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;20.0;20.0
15.0005;15.0000283447;20.0;15.0001371882;16.4639597506;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;15.0005;20.0
15.0005;15.0000283447;20.0;15.0001371882;16.4639597506;20.0;15.5571439909;20.0;18.5937193877;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;15.0005;15.5382324263
17.50025;20.0;20.0;15.5975918367;16.4639597506;20.0;15.5571439909;20.0;15.282574263;20.0;20.0;20.0;20.0;20.0;15.2652267574;20.0;15.0005;15.5382324263
18.6446944444;20.0;20.0;15.0001371882;18.720005102;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;15.286930839;20.0;15.0005;15.5382324263
15.2780277778;20.0;20.0;15.0001371882;17.5002998866;20.0;15.5571439909;20.0;15.3045997732;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;15.0005;15.5382324263
15.2780277778;15.0000283447;20.0;15.5975918367;18.720005102;20.0;20.0;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;17.7817602041;20.0;20.0;15.5382324263
18.6446944444;15.0000283447;20.0;15.0001371882;16.3126218821;20.0;20.0;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;17.7817602041;20.0;20.0;15.5382324263
17.7777777778;15.0000283447;20.0;15.5523854875;20.0;20.0;20.0;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;15.5382324263
18.6446944444;15.0000283447;20.0;15.5715419501;16.3126218821;20.0;15.5571439909;20.0;20.0;20.0;20.0;20.0;20.0;20.0;15.2865787982;20.0;15.0005;15.5382324263
18.6446944444;15.0000283447;20.0;15.0008265306;17.7439546485;20.0;15.5571439909;20.0;15.2828344671;20.0;20.0;20.0;20.0;20.0;15.2655787982;20.0;15.0005;20.0
17.50025;15.0000283447;20.0;15.2992091837;17.7439546485;20.0;15.5571439909;20.0;17.7476876417;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;15.0005;20.0
20.0;15.0000283447;20.0;18.6673611111;17.7439546485;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;15.0005;20.0
20.0;20.0;20.0;15.2425379819;20.0;20.0;15.5571439909;20.0;18.5937193877;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;15.0005;15.5382324263
18.6446944444;20.0;20.0;16.0972845805;16.3126218821;20.0;15.5571439909;20.0;15.282574263;20.0;20.0;20.0;20.0;20.0;15.2652267574;20.0;20.0;15.5382324263
20.0;20.0;20.0;16.0972845805;20.0;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;15.286930839;20.0;20.0;15.5382324263
15.0005;15.0000283447;20.0;15.5282403628;16.3126218821;20.0;15.5571439909;20.0;15.3045997732;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;20.0;15.5382324263
