OW_k8_epochsize10_gamma0.2_1h18m19s.txt;OW_k8_epochsize10_gamma0.01_1h17m4s.txt;OW_k4_epochsize20_gamma0.3_1h19m7s.txt;OW_k4_epochsize10_gamma0.01_1h16m28s.txt;OW_k4_epochsize20_gamma0.2_1h17m52s.txt;OW_k8_epochsize50_gamma0.1_1h16m19s.txt;OW_k8_epochsize30_gamma0.3_1h19m56s.txt;OW_k4_epochsize10_gamma0.2_1h17m43s.txt;OW_k8_epochsize30_gamma0.2_1h18m38s.txt;OW_k8_epochsize20_gamma0.1_1h15m59s.txt;OW_k4_epochsize20_gamma0.1_1h15m23s.txt;OW_k8_epochsize50_gamma0.01_1h17m33s.txt;OW_k8_epochsize30_gamma0.1_1h16m9s.txt;OW_k4_epochsize10_gamma0.1_1h15m14s.txt;OW_k4_epochsize30_gamma0.01_1h16m46s.txt;OW_k8_epochsize10_gamma0.1_1h15m49s.txt;OW_k4_epochsize50_gamma0.2_1h18m10s.txt;OW_k8_epochsize50_gamma0.3_1h20m6s.txt;OW_k4_epochsize30_gamma0.1_1h15m32s.txt;OW_k8_epochsize20_gamma0.01_1h17m14s.txt;OW_k8_epochsize20_gamma0.2_1h18m29s.txt;OW_k8_epochsize50_gamma0.2_1h18m48s.txt;OW_k4_epochsize30_gamma0.3_1h19m17s.txt;OW_k8_epochsize10_gamma0.3_1h19m36s.txt;OW_k4_epochsize20_gamma0.01_1h16m37s.txt;OW_k8_epochsize20_gamma0.3_1h19m46s.txt;OW_k4_epochsize50_gamma0.01_1h16m55s.txt;OW_k4_epochsize50_gamma0.1_1h15m40s.txt;OW_k4_epochsize10_gamma0.3_1h18m58s.txt;OW_k4_epochsize30_gamma0.2_1h18m1s.txt;OW_k4_epochsize50_gamma0.3_1h19m26s.txt;OW_k8_epochsize30_gamma0.01_1h17m24s.txt
82.9729058824;81.9644235294;83.6717764706;84.7595294118;83.8819058824;79.6164352941;78.8796117647;83.9386588235;79.7417764706;83.4241411765;85.0533882353;80.6183411765;79.9064117647;85.2849176471;80.1349764706;83.2734117647;81.4560705882;79.6111529412;80.7759176471;82.2895647059;83.6292235294;78.9839176471;80.2333411765;82.1267764706;83.5515764706;82.1234823529;79.1795058824;80.3134352941;83.5717882353;81.8823176471;80.6191058824;80.4418941176
82.9336941176;83.4769529412;84.4070117647;84.2879411765;85.5509294118;79.9602941176;80.4152941176;83.6602823529;79.5059058824;81.7307882353;84.8662588235;80.1238235294;80.7595882353;84.3648705882;79.6135764706;82.8145647059;80.6838352941;79.6567882353;80.6432588235;82.2251882353;83.0906705882;79.2167176471;80.5337176471;82.7092941176;83.9713411765;82.8041529412;80.3703764706;80.2595764706;85.8399058824;81.0520235294;81.3777882353;80.6407882353
83.4328235294;82.4327294118;85.1032941176;84.1150235294;84.7349058824;80.2929882353;79.9329411765;84.2408470588;80.6661176471;82.9051411765;83.6898941176;80.2440823529;79.6249764706;85.0266470588;80.3943176471;83.2135882353;80.3712588235;80.5727058824;79.7749647059;81.9891058824;82.7261882353;80.5627882353;80.6307176471;83.8158941176;83.9194470588;83.1632588235;78.8651411765;80.9467764706;85.1146235294;81.5020941176;81.2184235294;79.7196941176
82.4014117647;81.9749647059;84.3047411765;82.2974235294;84.001;80.0271411765;80.7424117647;83.9650941176;80.7679294118;82.1114470588;81.4883882353;80.2641882353;80.3670705882;81.3447529412;79.379;82.8481647059;80.5215764706;80.2272823529;79.7293176471;82.0582117647;83.3107529412;79.9218352941;80.4651176471;84.3090470588;83.3781176471;83.1741411765;79.0095411765;80.3892941176;84.7118823529;80.8917411765;80.3498705882;79.8292941176
82.4074470588;81.8687411765;79.1628588235;82.9106235294;78.5362705882;81.0582588235;80.7812823529;78.4126235294;80.9221647059;84.1865411765;78.2050117647;79.8265058824;80.5903764706;79.2788117647;78.7541058824;82.0791411765;80.4338235294;79.7781764706;80.8555764706;83.5371647059;81.4233647059;79.8990705882;79.7419882353;82.9078235294;83.7974235294;81.9351529412;79.4523058824;80.5627882353;79.5671882353;80.7610117647;80.3438470588;79.7196117647
83.1983176471;82.7832705882;80.9413058824;81.8971764706;80.8044;80.2220470588;80.7673176471;80.6486235294;79.8769529412;82.8548823529;80.6060352941;79.8747294118;80.7444117647;80.0169176471;80.7032;82.0769882353;80.4126;80.7734;80.5002588235;82.0934705882;83.0917058824;79.7292941176;80.7015529412;82.3331529412;83.3558117647;82.6591882353;78.7686705882;80.8590117647;79.8887058824;80.4328823529;79.9200588235;79.6542823529
83.3415764706;81.1017294118;80.9076235294;82.4414941176;79.7255411765;80.4307294118;81.3627176471;79.8717529412;80.0952;81.5129058824;79.9698235294;79.6030352941;80.0104470588;80.0381411765;79.4068941176;81.7250470588;81.2424235294;80.8413529412;81.0453882353;81.9929294118;82.9949058824;80.9528705882;80.3017176471;82.5263058824;82.6815411765;83.7874705882;79.7938588235;80.9690117647;79.7998941176;81.0140470588;80.6705058824;79.3771176471
82.4072705882;80.9967176471;81.7097882353;81.3840588235;79.7642470588;79.8161058824;80.7194117647;80.1777529412;80.0958941176;81.0303411765;80.5628941176;79.6307764706;80.3009058824;81.2845882353;79.0013529412;80.6405764706;80.4722352941;81.4629294118;79.3734705882;81.3045294118;81.7723882353;80.7274;80.3932235294;82.7692705882;82.5811176471;83.2126352941;78.9105529412;80.4019176471;81.1757294118;80.6861647059;79.7476352941;79.8456117647
79.9310941176;81.5049882353;81.9158117647;80.9688352941;80.7404823529;79.8966352941;80.5054941176;81.6244235294;80.8579764706;79.9058470588;82.3558941176;79.7291882353;80.1914;82.3958705882;78.2980705882;79.2126;80.4295764706;80.5948705882;80.0131411765;81.5048;80.1666235294;80.6306823529;79.3937058824;81.0447411765;81.0180588235;80.7900941176;79.1557529412;80.4755176471;81.9552;79.6301529412;80.8125294118;79.4546823529
83.0578941176;82.9474705882;81.9416117647;84.7660823529;82.3594470588;79.6336352941;82.6258588235;84.1882823529;82.0737529412;79.4595411765;83.2185294118;79.2554352941;83.4754352941;84.8825882353;85.6317176471;83.1688705882;80.1870941176;79.8054823529;84.6688352941;81.8042117647;78.8297411765;80.6042705882;84.8425882353;82.6664117647;82.2970941176;79.9234588235;79.6304470588;80.3327647059;84.6461882353;84.9448941176;80.0591529412;82.8764235294
