Braess_1_4200_10_c1_k3_a0.8_d0.9_21h16m37s.txt;Braess_1_4200_10_c1_k3_a0.9_d0.9_19h34m53s.txt;Braess_1_4200_10_c1_k3_a0.8_d0.99_21h16m39s.txt;Braess_1_4200_10_c1_k3_a0.9_d0.99_21h16m54s.txt
15.3435249433;15.3433979592;17.3696400227;17.3353219955
15.3435249433;15.3432426304;17.4384971655;17.3072091837
15.3435249433;15.3432426304;17.4141791383;17.4003469388
15.3435249433;15.3432426304;17.41680839;17.4318781179
15.3445464853;15.3439393424;17.4068684807;17.4002001134
15.3433747165;15.3439393424;17.4550663265;17.4700963719
15.3433747165;15.344095805;17.3774070295;17.4939342403
15.3433747165;15.3437851474;17.5002959184;17.480255102
15.3433747165;15.3437851474;17.5477573696;17.5171213152
15.3443951247;15.3437851474;17.4203820862;17.4433662131
15.3454178004;15.3437851474;17.607451814;17.5092046485
15.3433747165;15.3437851474;17.5074036281;17.5800277778
15.3433747165;15.3436332199;17.6701933106;17.6108939909
15.3433747165;15.3436332199;17.6662409297;17.6040164399
15.3433747165;15.3436332199;17.5003684807;17.701127551
15.344244898;15.3436332199;17.6772046485;17.7561473923
15.344244898;15.3436332199;17.6806422902;17.6270521542
15.344244898;15.3436332199;17.7416621315;17.7627505669
15.344244898;15.3436332199;17.7064501134;17.6854160998
15.344244898;15.3436332199;17.7363407029;17.7946723356
15.344095805;15.3437851474;17.8449897959;17.7345907029
15.344095805;15.3436332199;17.7439688208;17.7297715419
15.344095805;15.3436332199;17.8143679138;17.7663764172
15.344095805;15.3436332199;17.7779030612;17.7893565759
15.344095805;15.3436332199;17.8454433106;17.8447448979
